# alfa=-1 beta=3 gamma=1.5 omega=0.6 k=0
0 -0.9999 1.0001 0 0
0.01 -0.9999 1.0001 0.00499084 -0.020003
0.02 -0.99985 0.999899 0.00997773 -0.039988
0.03 -0.99975 0.999497 0.0149572 -0.0599389
0.04 -0.999599 0.998895 0.0199258 -0.0798397
0.05 -0.999399 0.998092 0.02488 -0.0996746
0.06 -0.999149 0.997091 0.0298165 -0.119428
0.07 -0.998849 0.99589 0.0347319 -0.139083
0.08 -0.9985 0.994492 0.0396226 -0.158627
0.09 -0.998102 0.992898 0.0444855 -0.178042
0.1 -0.997655 0.991109 0.0493171 -0.197314
0.11 -0.997159 0.989126 0.0541143 -0.216429
0.12 -0.996615 0.986951 0.0588736 -0.235372
0.13 -0.996024 0.984585 0.063592 -0.254129
0.14 -0.995385 0.982031 0.0682663 -0.272687
0.15 -0.994699 0.979291 0.0728934 -0.291033
0.16 -0.993966 0.976366 0.0774701 -0.309153
0.17 -0.993187 0.973259 0.0819936 -0.327036
0.18 -0.992363 0.969972 0.0864609 -0.34467
0.19 -0.991494 0.966508 0.0908691 -0.362042
0.2 -0.990581 0.962869 0.0952155 -0.379143
0.21 -0.989624 0.959059 0.0994972 -0.395962
0.22 -0.988624 0.955079 0.103712 -0.41249
0.23 -0.987582 0.950934 0.107856 -0.428716
0.24 -0.986498 0.946625 0.111929 -0.444632
0.25 -0.985373 0.942156 0.115926 -0.460231
0.26 -0.984208 0.937531 0.119846 -0.475504
0.27 -0.983003 0.932752 0.123687 -0.490445
0.28 -0.98176 0.927823 0.127447 -0.505046
0.29 -0.98048 0.922747 0.131122 -0.519303
0.3 -0.979162 0.917528 0.134712 -0.533211
0.31 -0.977808 0.912169 0.138215 -0.546763
0.32 -0.976419 0.906674 0.141628 -0.559957
0.33 -0.974995 0.901047 0.14495 -0.572788
0.34 -0.973539 0.89529 0.148179 -0.585254
0.35 -0.972049 0.889408 0.151314 -0.597352
0.36 -0.970529 0.883405 0.154354 -0.609081
0.37 -0.968977 0.877283 0.157296 -0.620439
0.38 -0.967397 0.871048 0.16014 -0.631425
